,title,studio,year,domestic_gross,foreign_gross,total_gross
0,Toy Story 3,BV,2010,415000000,652000000,1067000000
1,Alice in Wonderland (2010),BV,2010,334200000,691300000,1025500000
2,Harry Potter and the Deathly Hallows Part 1,WB,2010,296000000,664300000,960300000
3,Inception,WB,2010,292600000,535700000,828300000
4,Shrek Forever After,P/DW,2010,238700000,513900000,752600000
5,The Twilight Saga: Eclipse,Sum.,2010,300500000,398000000,698500000
6,Iron Man 2,Par.,2010,312400000,311500000,623900000
7,Tangled,BV,2010,200800000,391000000,591800000
8,Despicable Me,Uni.,2010,251500000,291600000,543100000
9,How to Train Your Dragon,P/DW,2010,217600000,277300000,494900000
10,Clash of the Titans (2010),WB,2010,163200000,330000000,493200000
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,2010,104400000,311300000,415700000
12,The King's Speech,Wein.,2010,135500000,275400000,410900000
13,Tron Legacy,BV,2010,172100000,228000000,400100000
14,The Karate Kid,Sony,2010,176600000,182500000,359100000
15,Prince of Persia: The Sands of Time,BV,2010,90800000,245600000,336400000
16,Black Swan,FoxS,2010,107000000,222400000,329400000
17,Megamind,P/DW,2010,148400000,173500000,321900000
18,Robin Hood,Uni.,2010,105300000,216400000,321700000
19,The Last Airbender,Par.,2010,131800000,187900000,319700000
20,Little Fockers,Uni.,2010,148400000,162200000,310600000
21,Resident Evil: Afterlife,SGem,2010,60100000,240100000,300200000
22,Shutter Island,Par.,2010,128000000,166800000,294800000
23,Salt,Sony,2010,118300000,175200000,293500000
24,Sex and the City 2,WB (NL),2010,95300000,193000000,288300000
25,The Tourist,Sony,2010,67600000,210700000,278300000
26,The Expendables,LGF,2010,103100000,171400000,274500000
27,Grown Ups,Sony,2010,162000000,109400000,271400000
28,Knight & Day,Fox,2010,76400000,185500000,261900000
29,True Grit,Par.,2010,171200000,81000000,252200000
30,Gulliver's Travels,Fox,2010,42800000,194600000,237400000
31,Percy Jackson & The Olympians: The Lightning Thief,Fox,2010,88800000,137700000,226500000
32,The Social Network,Sony,2010,97000000,128000000,225000000
33,Valentine's Day,WB (NL),2010,110500000,106000000,216500000
34,The Sorcerer's Apprentice,BV,2010,63200000,152100000,215300000
35,Due Date,WB,2010,100500000,111200000,211700000
36,Eat Pray Love,Sony,2010,80600000,124000000,204600000
37,Yogi Bear,WB,2010,100200000,101300000,201500000
38,Red,Sum.,2010,90400000,108600000,199000000
39,Paranormal Activity 2,Par.,2010,84800000,92800000,177600000
40,The A-Team,Fox,2010,77200000,100000000,177200000
41,Jackass 3-D,Par.,2010,117200000,54500000,171700000
42,The Other Guys,Sony,2010,119200000,51200000,170400000
43,Unstoppable,Fox,2010,81600000,86200000,167800000
44,Step Up 3-D,BV,2010,42400000,116900000,159300000
45,The Book of Eli,WB,2010,94800000,62300000,157100000
46,The Town,WB,2010,92200000,61800000,154000000
47,Date Night,Fox,2010,98700000,53600000,152300000
48,Legend of the Guardians: The Owls of Ga'Hoole,WB,2010,55700000,84400000,140100000
49,The Wolfman,Uni.,2010,62000000,77800000,139800000
50,The Bounty Hunter,Sony,2010,67099999,69300000,136399999
51,Saw 3D,LGF,2010,45700000,90400000,136100000
52,Wall Street: Money Never Sleeps,Fox,2010,52500000,82300000,134800000
53,The Fighter,Par.,2010,93600000,35600000,129200000
54,Predators,Fox,2010,52000000,75200000,127200000
55,A Nightmare on Elm Street (2010),WB (NL),2010,63100000,52600000,115700000
56,Dear John,SGem,2010,80000000,35000000,115000000
57,Cats & Dogs: The Revenge of Kitty Galore,WB,2010,43600000,68900000,112500000
58,Tooth Fairy,Fox,2010,60000000,52400000,112400000
59,Life as We Know It,WB,2010,53400000,52300000,105700000
60,Hereafter,WB,2010,32700000,72500000,105200000
61,The Girl with the Dragon Tattoo,MBox,2010,10100000,94300000,104400000
62,Love and Other Drugs,Fox,2010,32400000,70500000,102900000
63,Aftershock (Tangshan Dadizhen),CL,2010,63000,100200000,100263000
64,Killers,LGF,2010,47100000,51100000,98200000
65,Kick-Ass,LGF,2010,48100000,48100000,96200000
66,Green Zone,Uni.,2010,35100000,59800000,94900000
